note_id,title,year,depth,pdf_included
P145,SRDF,2026,M,no
P146,RoboPocket,2026,A,no
P147,HandITL,2026,M,no
P148,DeMaVLA,2026,D,no
P149,LWD: Learning with Distributed Fleet Data,2026,D,yes
P150,SOP: Scalable Online Post-Training for VLA,2026,D,yes
P151,World-VLA-Loop,2026,D,no
P152,DEED,2026,D,yes
P153,ENPIRE: Agentic Robot Policy Self-Improvement,2026,M,no
P154,Green-VLA DataQA and Reversal Augmentation,2026,M,no
P155,Continual VLA via Reinforcement Fine-Tuning,2026,M,no
P156,ExpReS-VLA,2026,M,no
P157,RT-1,2022,M,yes
P158,RT-2,2023,M,yes
P159,OpenVLA,2024,M,yes
P160,Octo,2024,M,yes
P161,π0,2024,M,yes
P162,π0.5,2025,D,yes
P163,π0.7,2026,D,yes
P164,GR00T N1 / N1.6 / N1.7,2025–2026,D,yes
P165,Gemini Robotics,2025,D,yes
P166,Gemini Robotics 1.5,2025,D,yes
P167,Gemini Robotics ER 2,2026,M,no
P168,Qwen-RobotManip,2026,D,yes
P169,Qwen-VLA,2025,M,no
P170,Qwen-RobotNav,2026,M,no
P171,Xiaomi-Robotics-0,2025,M,no
P172,Xiaomi-Robotics-1,2026,D,no
P173,Xiaomi-Robotics-U0,2026,D,no
P174,InternVLA-A1,2026,M,no
P175,InternVLA-A1.5,2026,M,no
P176,LingBot-VLA 2.0,2026,D,no
P177,RhinoVLA,2026,M,no
P178,HoloBrain-0,2026,A,no
P179,StarVLA / StarVLA-α,2026,M,no
P180,VLA Foundry,2026,M,no
P181,OSCAR,2026,M,no
P182,RynnBrain 1.1,2026,M,no
P183,EO-1,2025,A,no
P184,ABot-M0,2026,D,no
P185,LDA-1B,2026,D,no
P186,DeMaVLA Technical Report,2026,D,no
P187,RefinedWeb,2023,D,yes
P188,FineWeb,2024,D,yes
P189,FineWeb-Edu,2024,D,no
P190,DataComp-LM,2024,D,yes
P191,DoReMi,2023,D,yes
P192,Data Mixing Laws,2024,M,no
P193,DSIR,2023,D,yes
P194,Llama 3 / The Llama 3 Herd,2024,M,no
P195,Dolma,2024,M,no
P196,RedPajama-V2,2023,M,no
P197,Data-Juicer,2023,D,no
P198,Data-Juicer 2.0,2025,M,no
P199,DataTrove,2024,M,no
P200,Rho-1,2024,M,no
P201,"Datasets, Documents, and Repetitions",2023,M,no
P202,Common Corpus,2024,M,no
P203,Ultra-FineWeb,2025,A,no
P204,Multimodal DataComp / Data Filtering Literature,2023–2026,M,yes
P205,DreamGen: Unlocking Generalization in Robot Learning through Video World Models,2025,D,yes
P206,RoboReward: General-Purpose Vision-Language Reward Models for Robotics,2026,D,yes
P207,LESS: Selecting Influential Data for Targeted Instruction Tuning,2024,D,yes
P208,What Makes Good Data for Alignment? / DEITA,2023,D,yes
P209,AI Models Collapse When Trained on Recursively Generated Data,2024,D,yes
P210,Self-Rewarding Language Models,2024,D,yes
P211,Robot-Powered Data Flywheels,2025,D,yes
