note_id,title,year,depth,pdf_included
P101,RoboVIP,2025,A,no
P102,RoboPearls,2025,M,no
P104,DexMimicGen,2024,M,no
P105,SoftMimicGen,2026,M,no
P106,DynaMimicGen,2025,A,no
P107,MoMaGen,2025,M,no
P108,BiDemoSyn,2026,M,no
P109,DemoGen,2025,M,no
P110,IntervenGen,2024,M,no
P113,RoboTwin 2.0,2025,D,no
P114,RoboGene,2026,M,no
P115,HumanoidGen,2026,A,no
P116,CRAFT,2026,M,no
P117,RIGVid,2025,M,no
P118,Video Generators are Robot Policies,2025,M,no
P119,V-Dreamer,2025,A,no
P120,PGDG / Policy-Guided Data Generation,2025,A,no
P121,D-CODA,2025,A,no
P123,NeRF-Based Robot Data Augmentation,2024,A,no
P124,GraspVLA / SynGrasp-1B,2025,M,no
P125,ORV-Data,2026,A,no
P127,SIM1,2026,D,no
P128,ABot-PhysWorld,2026,M,no
P129,Qwen-RobotWorld,2026,M,no
P130,LabVLA / RoboGenesis,2026,M,no
P131,DataLadder,2026,A,no
P132,PointWorld,2026,M,no
P133,ViTacWorld,2026,M,no
P136,π*0.6 / RECAP,2025,D,no
P137,ROVE,2026,D,no
P138,Seed2Scale,2026,D,no
P139,DexFlyWheel,2026,D,no
P140,RISE,2026,M,no
P141,HELP / VLAC-CUT Self-Improvement,2026,M,no
P142,EAP: Entangled Action Pairs,2026,M,no
P143,HERO,2026,M,no
P144,Bootstrapping Robot Skills through Autonomous Data Collection,2026,A,no
P145,SRDF,2026,M,no
P146,RoboPocket,2026,A,no
P147,HandITL,2026,M,no
P148,DeMaVLA,2026,D,no
P149,LWD: Learning with Distributed Fleet Data,2026,D,no
P150,SOP: Scalable Online Post-Training for VLA,2026,D,no
P151,World-VLA-Loop,2026,D,no
P153,ENPIRE: Agentic Robot Policy Self-Improvement,2026,M,no
P154,Green-VLA DataQA and Reversal Augmentation,2026,M,no
P155,Continual VLA via Reinforcement Fine-Tuning,2026,M,no
P156,ExpReS-VLA,2026,M,no
P164,GR00T N1 / N1.6 / N1.7,2025–2026,M,no
P165,Gemini Robotics,2025,M,no
P166,Gemini Robotics 1.5,2025,M,no
P167,Gemini Robotics ER 2,2026,M,no
P168,Qwen-RobotManip,2026,D,no
P169,Qwen-VLA,2025,M,no
P170,Qwen-RobotNav,2026,M,no
P171,Xiaomi-Robotics-0,2025,M,no
P172,Xiaomi-Robotics-1,2026,D,no
P173,Xiaomi-Robotics-U0,2026,D,no
P174,InternVLA-A1,2026,M,no
P175,InternVLA-A1.5,2026,M,no
P176,LingBot-VLA 2.0,2026,D,no
P177,RhinoVLA,2026,M,no
P178,HoloBrain-0,2026,A,no
P179,StarVLA / StarVLA-α,2026,M,no
P180,VLA Foundry,2026,M,no
P181,OSCAR,2026,M,no
P182,RynnBrain 1.1,2026,M,no
P183,EO-1,2025,A,no
P184,ABot-M0,2026,D,no
P185,LDA-1B,2026,D,no
P186,DeMaVLA Technical Report,2026,D,no
P189,FineWeb-Edu,2024,D,no
P190,DataComp-LM,2024,D,no
P192,Data Mixing Laws,2024,M,no
P194,Llama 3 / The Llama 3 Herd,2024,M,no
P195,Dolma,2024,M,no
P196,RedPajama-V2,2023,M,no
P197,Data-Juicer,2023,D,no
P198,Data-Juicer 2.0,2025,M,no
P199,DataTrove,2024,M,no
P200,Rho-1,2024,M,no
P201,"Datasets, Documents, and Repetitions",2023,M,no
P202,Common Corpus,2024,M,no
P203,Ultra-FineWeb,2025,A,no
